nom;quantitee;preparation
Sikko;4 cl de vodka,1,5 cl de sirop de canne,6 cl de nectar de citron vert,1 rondelle de gingembre,6 feuilles de basilic;Dans un verre tumbler, incorporez le basilic, le gingembre et le sirop de canne. Pilez puis ajoutez la glace pilée, la vodka et le nectar de citron vert. 
Piña Colada;4 cl de rhum blanc,6 cl de jus d'ananas,6 cl de lait de coco,2 cl de sirop de canne;Dans un shaker, versez les ingrédients. Secouez énergiquement et servez dans un grand verre sur des glaçons. 
Betty Sexy;6 cl de nectar de cranberry,6 cl de nectar de maracujà,4 cl de nectar de goyave,1,5 cl de sirop de framboise,2 cl de citron vert;Mettez dans le blender ou shaker tous les ingrédients, mélangez et versez dans un verre de type long drink. 
Blue Lagoon;4 cl de vodka,2 cl de curaçao,1 cl de jus de citron;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 2 cl de curaçao et 1 cl de jus de citron pressé. Shakez et versez le tout dans un verre à cocktail. 
Margarita;4 cl de tequila,2 cl de triple sec,2 cl de jus de citron vert;Dans un shaker rempli à moitié de glaçons, versez 4 cl de tequila, 2 cl de triple sec, 2 cl de jus de citron vert. Shakez et versez dans un verre à cocktail. 
Mojito;4 cl de rhum blanc 40°,2 cl de sirop de canne,eau gazeuse,1/2 citron vert coupé en dés,6 à 8 feuilles de menthe fraîche;Dans un verre à Mojito, disposez 6 à 8 feuilles de menthe, 1/2 citron vert coupé en dés et 2 cl de sirop de canne. Pilez et versez 4 cl de rhum blanc 40°. Ajoutez de la glace pilée et allongez d'eau gazeuse. Mélangez de bas en haut avec une cuillère à mélange. 
Punch Planteur;4 cl de rhum blanc 50 ou 55°,2 cl de sirop de canne roux,12 cl de nectar Cocktail des îles;Dans un verre long drink, mélangez les ingrédients et ajoutez des glaçons. 
Amber berries;4 cl de rhum ambré,4 cl de nectar de goyave,4 cl de nectar de cranberry,1 cl de sirop de mûre;Dans un shaker rempli à moitié de glaçons, versez 4 cl de rhum ambré, 4 cl de nectar de goyave, 4 cl de nectar de cranberry, 1 cl de sirop de mûre. Shakez et versez dans un verre à cocktail. 
Melo Colors;8 cl de nectar de maracuja,4 cl de jus de fraise,2 cl de nectar de citron vert;Au shaker rempli de glaçons, versez les ingrédients, secouez énergiquement. Versez dans un verre sur glace avec une paille. 
Bitter sweet caïpi;4 cl de gentiane,2 cl de curaçao,2 cl de sirop de canne,1/2 citron;Dans un verre à whisky, versez 1/2 citron coupé en dés, 2 cl de sirop de canne. Pilez l'ensemble. Ajoutez de la glace pilée, versez 2 cl de curaçao, 4 cl de gentiane. Mélangez le tout. 
Sous les tropiques;12 cl de planteur des îles,4 cl de nectar de poire,1 cl de sirop de vanille;Dans un shaker rempli à moitié de glaçons, versez : 12 cl de planteur des îles, 4 cl de nectar de poire. Ajoutez 1 cl de sirop de vanille. Secouez et servez dans un verre long drink. 
Mora;5 cl de porto tawny,2 cl de crème de mûre,1 quartier de citron vert;Dans un verre à cocktail rempli de glaçons, versez 5 cl de porto tawny, 2 cl de crème de mûre. Ajoutez le citron vert avec son zeste. 
Ice Pick;4 cl de vodka,8 cl de thé glacé,un quartier de citron vert;Dans un verre long drink rempli de glaçons, versez 4 cl de vodka, complétez avec 8 cl de thé glacé, pressez et déposez le quartier de citron vert. Mélangez. 
Tonic Yourself;4 cl de London dry gin,8 cl de tonic,2 feuilles de basilic,1 zeste de citron;Dans un verre, versez le gin puis allongez de tonic. Ajoutez deux feuilles de basilic et un zeste de citron. 
Berrypolitan;3 cl de vodka,2 cl de crème de cassis,4 cl cosmopolitan;Dans un shaker rempli de moitié de glaçons, versez : 3 cl de vodka, 2 cl de crème de cassis, 4 cl de cosmopolitan. Shakez et filtrez dans un verre à cocktail. 
Tutti quanti;6 cl de nectar de maracujà,4 cl de jus de fraise,4 cl de nectar de goyave,4 cl de nectar de mangue;Au shaker, mélangez : 6 cl de nectar de maracujà, 4 cl de fraise, 4 cl de nectar de goyave, 4 cl de nectar de mangue. Versez dans un verre long drink. 
Moitié Moitié;4 cl de Saint Raphaël ambré,4 cl de Saint Raphaël rouge,1 demi tranche d'orange;Dans un verre à whisky rempli de glaçons, versez 4 cl de Saint Raphaël rouge et 4 cl de Saint Raphaël ambré. Mélangez puis posez une demi tranche d'orange. 
Cassissia;4 cl de gentiane sur glace,2 cl de crème de cassis;Dans un verre long drink rempli de glaçons, versez 4 cl de gentiane et 2 cl de crème de cassis. Mélangez le tout. 
Blue Up;4 cl de curaçao bleu,6 cl de nectar de poire,10 cl de champagne frais;Dans une coupe à champagne, versez le nectar de poire et le curaçao. Complétez avec du champagne rafraîchi. 
Paradisio;4 cl de rhum paille,4 cl de nectar de maracuja,4 cl de nectar de mangue,1 cl de sirop de vanille;Dans un shaker rempli à moitié de glaçons, versez 4 cl de rhum paille, 4 cl de nectar de maracuja, 4 cl de nectar de goyave, 1 cl de sirop de vanille. Shakez et versez dans un verre à cocktail. 
Blue Apple;4 cl de gin,6 cl de jus de pomme,1 cl de jus de citron pressé,2 cl de curaçao,1 cl de sirop de canne;Dans un shaker rempli à moitié de glaçons, versez 4 cl de gin, 6 cl de jus de pomme, 2 cl de curaçao, 1 cl de sirop de canne, 1 cl de jus de citron pressé. Shakez et versez le tout dans un verre à cocktail. 
Le Diamond Rock;4 cl de rhum blanc,Le jus d’un quart de citron vert,1 trait de liqueur d’orange triple sec;Dans un verre old fashioned sur glace, versez le rhum, la liqueur puis le jus de citron vert. 
Rhum Cucumber;4 cl de rhum blanc,2 cl de nectar de citron vert,2 cl de sirop d'agave,Ginger Ale,3 tranches de concombre,5 feuilles de basilic;Dans un shaker, placez 3 tranches de concombre épaisses coupées en dés, ajoutez 5 feuilles de basilic et le sirop d'agave. Pilez le tout délicatement. Ajoutez le nectar de citron vert, le rhum et des glaçons. Shakez puis versez dans un verre à cocktail. 
Red Light;5 cl de jus de fraise,5 cl de jus de citron,5 cl de jus d'orange,5 cl de jus d'ananas;Dans un verre long drink rempli de glaçons, versez les nectars et jus de fruits. Décorez d'une brochette de framboise agrémentée d'un zeste de citron vert. 
French Americano;4 cl de quinquina rouge,2 cl de triple sec,1 tranche d'orange;Dans un verre long drink, versez 4 cl de quinquina rouge, 2 cl de triple sec et 1 quart d'orange. 
Riverose;4 cl de rivesaltes rosé,2 cl de crème de pamplemousse,2 cl d'eau gazeuse;Dans un verre à vin type Ballon, incorporez 2 cl de crème de pamplemousse, 4 cl de rivesaltes rosé. Allongez d'eau gazeuse et remuez à la cuillère à mélange. 
Orphée;4 cl de triple sec,2 cl de crème de cassis,14 cl de champagne frais,1 trait de jus de citron;Dans une coupe à champagne, versez le triple sec, le trait de citron et la crème de cassis. Alllongez de champagne rafraîchi. 
Canisse;4 cl d'anisette,2 cl de crème de cassis,eau;Dans un verre old fashioned, versez 4 cl d'anisette et 2 cl de crème de cassis. Allongez d'eau fraîche, ajoutez des glaçons et mélangez. 
Black;3 cl de vodka,2 cl de crème de mûre,12 cl de cola;Dans un verre long drink, déposez quelques glaçons, puis versez: 3 cl de vodka, 2 cl de crème de mûre, 12 cl de cola. 
Apple Tree;4 cl de scotch whisky,2 cl de manzana verde,1 cl de jus de citron vert;Dans un shaker rempli de glaçons, mélangez le whisky, la liqueur manzana verde et le jus de citron vert. Secouez énergiquement puis versez dans un verre old fashioned rempli de glace. 
Latino Lover;4 cl de vodka,1 cl de sirop de vanille,4 cl de jus d'orange,4 cl de nectar de mangue,4 cl de nectar de goyave;Dans un shaker rempli à moitié de glaçons, versez 4 cl de vodka, 1 cl de sirop de vanille, 4 cl de jus d'orange, 4 cl de nectar de mangue, 4 cl de nectar de goyave. Shakez et versez dans un verre long drink 
Iroquoi;5 cl de scotch whisky,3 cl de triple sec,2 cl de curaçao,Allongez de tonic;Dans un shaker rempli de glaçons, versez le whisky et le triple sec et secouez énergiquement.Versez dans un verre long drink puis allongez de tonic puis terminez par le curaçao. 
Azuleja;5 cl de porto blanc,5 cl de nectar de poire,1 cl de sirop de caramel;Dans un shaker rempli à moitié de glaçons, versez 5 cl de porto blanc, 5 cl de nectar de poire et 1 cl de sirop de caramel. Shakez et filtrez dans un verre à cocktail. 
Impérial Garden;4 cl de rhum blanc 40°,1 cl de sirop de canne,4 cl de cocktail Mojito ,4 cl de jus de pomme trouble,1 tranche de concombre,quelques feuilles de menthe;Dans un verre à Mojito, disposez les feuilles de menthe, la tranche de concombre coupée en dés et 1 cl de sirop de canne. Pilez et versez 4 cl de rhum blanc 40°. Ajoutez de la glace pilée et allongez de jus de pomme trouble et de jus mojito. Mélangez de bas en haut avec une cuillère à mélange. 
CaïpiFraise;4 cl de rhum blanc 50°,1 cl de jus de citron pressé,2 cl de sirop de canne,1 grosse fraise parfumée;Dans un verre à Mojito, mettez 1 fraise coupée en dés, 2 cl de sirop de canne, 1 cl de citron pressé. Pilez puis ajoutez des glaçons et 4 cl de rhum 50°. Shakez et filtrez dans un verre à cocktail. 
Bellini;8 cl de champagne,4 cl de nectar de pêche;Dans une flûte, versez le nectar de pêche, puis allongez de champagne rafraîchi. Vous pouvez décorer d'un quartier de pêche. 
Caramel Antillais;3 cl de rhum blanc,8 cl de nectar de banane,1,5 cl de sirop de caramel;Dans un shaker, mélangez le rhum, le nectar de banane et le sirop. Secouez énergiquement puis versez dans le verre. Ajoutez la glace pilée. 
Dream Fizz;4 cl de gin,2 cl de sirop de framboise,1 cl de jus de citron vert,10 cl d'eau gazeuse;Dans un shaker rempli à moitié de glaçons, versez 4 cl de Gin, 2 cl de sirop de framboise, 1 cl de jus de citron vert. Shakez et filtrez dans un verre long drink. Allongez d'eau gazeuse. 
Raspberry moon;2 cl de pastis,2 cl de gin,1 cl de crème de framboise,6 cl de jus de framboise;Dans un shaker, versez 2 cl de pastis, 2 cl de gin, 6 cl de jus de framboise et 1 cl de crème de framboise. Shakez, ajoutez des glaçons, filtrez puis versez dans un verre à cocktail. 
Panam;6 cl de scotch whisky,10 cl de jus de pamplemousse rose,4 cl de crème de cassis;Dans un shaker rempli de glaçons, mélangez les ingrédients puis secouez énergiquement. Servez dans un verre long drink rempli de glaçons 
God Father;4 cl de scotch whisky,2 cl de liqueur amaretto;Dans un verre old fashioned avec des glaçons, versez le whisky puis la liqueur d'amaretto. 
